Type of land use in floodplains										
Water			Concrete/Settlement			Silt			Vegetation	
26.478828	74.622991		26.477973	74.632479		26.490266	74.61427		26.487827	74.640257
26.479614	74.623804		26.477863	74.633204		26.48637	74.617756		26.487784	74.641936
26.483273	74.621688		26.477288	74.633114		26.486207	74.617975		26.487536	74.642351
26.481287	74.618457		26.476662	74.632894		26.486093	74.617494		26.487295	74.642618
26.480229	74.623601		26.476343	74.633015		26.485599	74.617121		26.487193	74.642335
26.479542	74.623643		26.476184	74.633444		26.485014	74.616585		26.486523	74.642226
26.479783	74.615157		26.475871	74.633445		26.484938	74.616654		26.486481	74.642607
26.478116	74.614358		26.475827	74.633116		26.484549	74.61707		26.4863	74.642754
26.476771	74.616913		26.475736	74.633248		26.484916	74.61824		26.486396	74.642246
26.475374	74.619661		26.474934	74.633271		26.484565	74.618638		26.485297	74.642163
26.476909	74.629317		26.474083	74.633086		26.484445	74.618726		26.48508	74.642714
26.479375	74.626479		26.473702	74.633345		26.484216	74.618761		26.482882	74.644068
26.480771	74.625531		26.471023	74.631873		26.484276	74.618839		26.483058	74.643646
26.478711	74.622881		26.470963	74.631798		26.484141	74.618947		26.482701	74.643588
26.478801	74.623431		26.471348	74.632537		26.484587	74.61707		26.482515	74.642823
26.479975	74.621027		26.47103	74.632585		26.484659	74.613393		26.467838	74.61681
26.47929	74.618738		26.47125	74.616563		26.485325	74.613179		26.471308	74.615633
26.476334	74.619775		26.47117	74.616321		26.484842	74.612503		26.470895	74.615821
26.479842	74.62242		26.471586	74.614501		26.48487	74.612409		26.476187	74.613285
26.479259	74.630782		26.471708	74.614476		26.484907	74.612551		26.476252	74.613606
26.478818	74.631503		26.471894	74.614158		26.484724	74.611804		26.476486	74.61347
Bhalaswa Lake										
28.742996	77.171079		28.744087	77.168166		28.752609	77.180052		28.739153	77.170503
28.742561	77.170414		28.744404	77.168554		28.751875	77.180717		28.739451	77.170611
28.743083	77.169769		28.74425	77.168921		28.752189	77.180654		28.73959	77.17045
28.743083	77.169769		28.743876	77.168522		28.751617	77.180987		28.739725	77.170608
28.741839	77.168805		28.743529	77.167838		28.7519	77.180601		28.739793	77.170681
28.741642	77.168323		28.744229	77.167382		28.75174	77.18065		28.739934	77.171017
28.741351	77.168166		28.744546	77.16742		28.749479	77.180234		28.740051	77.171243
28.739916	77.16763		28.744482	77.167289		28.748614	77.180206		28.740012	77.171442
28.739678	77.166493		28.744158	77.167333		28.748918	77.180659		28.739822	77.171582
28.739456	77.166946		28.743963	77.167201		28.749119	77.180129		28.739568	77.171558
28.739355	77.167765		28.743558	77.167837		28.750469	77.181817		28.739438	77.171172
28.739133	77.168229		28.742806	77.167499		28.749581	77.180527		28.739262	77.170564
28.739476	77.166821		28.742859	77.167756		28.749948	77.180123		28.739087	77.170437
28.739676	77.167056		28.742045	77.166346		28.749599	77.179784		28.739097	77.17021
28.739302	77.16794		28.741933	77.167291		28.748259	77.17957		28.738409	77.170864
28.739363	77.167921		28.741745	77.16691		28.748101	77.17934		28.738519	77.171015
28.739478	77.168667		28.741648	77.166493		28.741249	77.172494		28.738532	77.170953
28.739937	77.168771		28.741642	77.165868		28.738523	77.170585		28.738422	77.170773
28.739875	77.168699		28.742281	77.165836		28.738502	77.172497		28.73828	77.170486
28.739894	77.167306		28.742846	77.167542		28.738521	77.172612		28.73832	77.170351
28.739978	77.168046		28.743313	77.168083		28.738365	77.172777		28.738484	77.169995
28.740191	77.168259		28.744227	77.168901		28.738507	77.173299		28.738041	77.17113
28.741441	77.168318		28.744237	77.169136		28.738654	77.172691		28.737771	77.172224
28.740047	77.168999		28.744681	77.169412		28.738588	77.172476		28.738373	77.171243
28.740868	77.169574		28.744785	77.169313		28.7383	77.172946		28.738392	77.170945
